ticker,avg_ai_sentiment,avg_general_sentiment,avg_combined_sentiment
HYLN,-0.7481371070587907,-0.8858531920983547,-0.8169951495785727
GNZUF,-0.7481371070587907,-0.8858531920983547,-0.8169951495785727
TSLA,-0.7481371070587907,-0.8858531920983547,-0.8169951495785727
MMTOF,-0.7481371070587907,-0.8858531920983547,-0.8169951495785727
GM,-0.7481371070587907,-0.8858531920983547,-0.8169951495785727
LCID,-0.7481371070587907,-0.8858531920983547,-0.8169951495785727
HYMTF,-0.7481371070587907,-0.8858531920983547,-0.8169951495785727
LI,-0.7481371070587907,-0.8858531920983547,-0.8169951495785727
F,-0.7481371070587907,-0.8858531920983547,-0.8169951495785727
RIVN,-0.9275921782414828,-0.884377063420238,-0.9059846208308604
NIO,-0.9275921782414828,-0.884377063420238,-0.9059846208308604
MBGYY,-0.9275921782414828,-0.884377063420238,-0.9059846208308604
BYDDY,-0.9275921782414828,-0.884377063420238,-0.9059846208308604
NSANY,-0.9275921782414828,-0.884377063420238,-0.9059846208308604
BAMXF,-0.9275921782414828,-0.884377063420238,-0.9059846208308604
TATAMOTORS.NS,-0.9275921782414828,-0.884377063420238,-0.9059846208308604
XPEV,-0.9275921782414828,-0.884377063420238,-0.9059846208308604
STLA,-0.9275921782414828,-0.884377063420238,-0.9059846208308604
KIMTF,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
VWAGY,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
RNLSY,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
POAHY,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
SAIC,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
GELYF,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
MAHMF,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
PSNY,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
GWLLY,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
NKLA,-0.9883261446860026,-0.961375509646639,-0.9748508271663208
HBAN,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
ZION,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
TFC,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
PNC,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
BAC,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
ALLY,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
STT,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
MS,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
BK,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
AXP,-0.5389517999355063,-0.7102032573312219,-0.6245775286333642
TD,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
FITB,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
USB,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
JPM,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
KEY,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
MTB,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
RF,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
SCHW,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
C,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
FHN,-0.6989946685895204,-0.7034905319795991,-0.7012426002845598
RY,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
HSBC,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
NBHC,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
WFC,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
GS,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
CFG,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
SAN,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
SYF,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
NTRS,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
COF,-0.8699131801070475,-0.8434315676714934,-0.8566723738892703
TSM,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
SNAP,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
NET,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
SHOP,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
CRM,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
AVGO,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
NVDA,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
NOW,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
INTC,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
HRB,-0.7493471031286915,-0.7569342299610275,-0.7531406665448596
AMZN,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
DOCU,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
AAPL,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
SNOW,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
DDOG,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
MSFT,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
IBM,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
TXN,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
META,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
LYFT,-0.8360100838220973,-0.7942077010206146,-0.8151088924213559
AMD,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
ORCL,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
CSCO,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
QCOM,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
MU,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
ADBE,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
UBER,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
GOOG,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
GOOGL,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
AMAT,-0.8927966454805277,-0.8395591866793348,-0.8661779160799314
